"Feature","Mean_Gain","Mean_Cover","Mean_Frequency","N_Folds"
"CBX1",0.0126317478241105,0.0116416661170857,0.00902724117531274,5
"PRDM7",0.0117855727382582,0.0177285227978275,0.011155849787585,5
"BRDT",0.00975099153330726,0.0116756616186989,0.00883541324851566,5
"DNMT3A",0.00797614164691144,0.00556512585212467,0.00552384907108062,5
"PADI6",0.00790259308655,0.0093163932861993,0.00749644296926824,5
"DNMT3B",0.00760960350341207,0.0101942801848241,0.00867449472354587,5
"PRDM9",0.00758841771849314,0.00930074814263931,0.0073418732388911,5
"UHRF1",0.00751052898438467,0.00910554510814305,0.00612408870192777,4
"BRD4",0.00728200254408514,0.00629846663078319,0.00626830969470192,5
"SETMAR",0.00716780723404954,0.00722522917500027,0.00626887227536737,5
"MECP2",0.00714218024274453,0.00551553301597905,0.00498054156597913,5
"SMYD1",0.00712375330148647,0.00871807399927589,0.00786301668460733,5
"PRMT8",0.00688770352650571,0.0090491741184138,0.00690985412520121,5
"PRDM16",0.00688439628081661,0.00729952641975998,0.00712577457331287,5
"SETD7",0.00683748686685477,0.00691442465035143,0.00629819377819196,5
"SMN1",0.00683453682810625,0.00651429750863494,0.00621366610244885,5
"HDAC7",0.00676357794490421,0.00509026933532827,0.00567749319967307,5
"PRDM8",0.00656821147795146,0.00567013199265257,0.00600117460252622,5
"MTA3",0.00655885003621572,0.00571971412841982,0.00596432191021435,5
"KDM7A",0.00655664476973083,0.00561254994673171,0.0050256842051876,5
"PADI2",0.00653246432098169,0.00642062539167703,0.00643464503039244,5
"PML",0.00649535472695917,0.00783947215162453,0.00599456183589631,5
"DPF3",0.00649235252888981,0.00964196930271149,0.00763018341842027,5
"BRD9",0.00639518485530802,0.00844938963306316,0.00592167129816192,5
"PRMT2",0.00634637390562446,0.00640764570841305,0.005989677292502,5
"SIN3B",0.00632429021856952,0.00552141914831311,0.00524183594542132,5
"KDM4D",0.00622273900798107,0.00591167300352485,0.00600114017560944,5
"ING4",0.00616426000050957,0.00566529352348498,0.00583220340753527,5
"PRDM6",0.00595903505122112,0.0059639583188987,0.00683261233076256,3
"L3MBTL1",0.00591668944875557,0.00597547039327219,0.00570432354663939,5
"PRMT5",0.00591216753249481,0.00404734922265155,0.00458529601775875,5
"KDM5D",0.00586321242161938,0.0045904643403342,0.00572026687365711,5
"SIRT3",0.00580621226650866,0.00648840500846964,0.00656930431963313,5
"DNMT3L",0.00580066353176447,0.00679975244582802,0.00599711585470573,4
"JARID2",0.005794104756369,0.00636441206491371,0.00552166143008821,5
"TGM2",0.00579095671472819,0.00587327961392954,0.00614804990504969,5
"KDM5C",0.00574043431276032,0.00638183663222803,0.00513564476609043,5
"CBX6",0.00570781385019793,0.00536254121856429,0.00532142661027013,5
"ING1",0.00567119671106013,0.0064411763666702,0.00512843466237407,5
"MECOM",0.00559125951573215,0.00588843054929101,0.00618150598092259,4
"RCOR1",0.00551447323168775,0.00482765272658794,0.00401934480979815,4
"CBX2",0.00548385861782672,0.00658221875848293,0.00659521072931704,3
"HDAC5",0.00547125742779017,0.00456184846921763,0.00421312178258403,5
"SMYD3",0.00545137915205304,0.0055571108891466,0.00542330668219854,5
"HDAC3",0.0054480084963802,0.0048032699125177,0.00498488318026217,5
"WDR5",0.00540905515819705,0.00638184680905194,0.00499566781500424,5
"EHMT1",0.00536641517726665,0.00485975383277456,0.00489279847402424,4
"MSL3",0.00531658514862629,0.00642116710674809,0.00477931287705791,5
"HDAC11",0.00528066837979676,0.0058252637231073,0.00577210679711004,5
"CHD5",0.00523693312973198,0.00461878693951265,0.00562432315121725,5
"PHF19",0.00515625448813914,0.00444881090627606,0.00487207780132168,5
"SIRT5",0.00514658536028045,0.00750047121207971,0.00617762291451796,5
"EED",0.0051318862762154,0.00562717188971611,0.00463712355922736,5
"PCGF5",0.00511290711710734,0.00746612461078464,0.00566130264579441,5
"CBX7",0.00509736978392375,0.00641096970630264,0.00555754549262634,5
"JADE1",0.00506138810959997,0.00452218363315415,0.00470767891631838,5
"MBD4",0.00503289673557932,0.00619592345259493,0.00519083788169296,5
"CBX8",0.00502539408142269,0.00469360088030127,0.00475713076022022,4
"BRCA2",0.00501264539649645,0.00649397832754882,0.00544408947205217,5
"SMYD4",0.00500718862459897,0.00516993708796212,0.00455510437998127,5
"GATAD2A",0.00494826370923989,0.00423654641683787,0.00448010622934779,5
"SMARCB1",0.00486320423662149,0.00490413115730305,0.00494926515299685,5
"SCML2",0.00486254847918261,0.00467544702388259,0.00549741074096585,5
"RCOR2",0.00485148516642664,0.00583093233134591,0.00596436202953957,5
"SMYD5",0.00484861358525408,0.00489631411492102,0.00499206331267784,5
"PRMT6",0.00481390319040393,0.00727335463852486,0.00574266163896203,5
"KAT2A",0.00480529266434488,0.00410179428989646,0.00513103310411887,4
"MBD2",0.00475872812590898,0.0053181345148154,0.0052523355709635,5
"NAA40",0.00473845487421263,0.00522170712412027,0.00470310210434431,5
"PARP1",0.0047332586422541,0.00699880590233861,0.00452717104882997,5
"KDM2B",0.00473001613815506,0.0078905841943516,0.00546499775978393,5
"ING5",0.00465675195483318,0.00378164422318656,0.00500200201382077,4
"KMT5A",0.00465110174343494,0.00412757270340586,0.004729705062215,5
"CARM1",0.00464632967458712,0.00495690697382925,0.00470566075541314,5
"SMARCD3",0.00463679057852295,0.00368600909559378,0.00467964101173923,4
"PIAS1",0.00461885491265429,0.00487995935604368,0.00463776047895403,4
"EZH2",0.00460183035803965,0.00399927110760556,0.0042707184177534,5
"PHC2",0.00458329959589551,0.00395567903346502,0.00469363865859222,5
"HDAC4",0.00457436267035167,0.00486673693581062,0.00522613567085199,4
"BRD1",0.00454429515563033,0.00602293544090783,0.00392322558079787,5
"PHC1",0.00454262301047399,0.00343249900262083,0.00389869951127434,5
"SETD4",0.00453632287878583,0.00399736145771855,0.00446620127118673,5
"PCGF2",0.00451016020898024,0.00615987455624423,0.00599039743463286,5
"HCFC1",0.0044819051925469,0.00363119330997523,0.00453354013965513,5
"DPF2",0.00446903924977842,0.0036688296541539,0.00382830154242974,5
"SUPT7L",0.00443754362351841,0.00295812693194456,0.00422169583691826,4
"KDM1B",0.00443600173717782,0.00525415073087356,0.00509618045701569,5
"BRD8",0.00443035721886641,0.00359920819177034,0.00416336144111056,4
"NCOA3",0.00440532213181387,0.00491074070040215,0.00431565049695113,5
"EZH1",0.00438880771938217,0.0045769769564187,0.00481501976756919,3
"KDM8",0.0043878707030495,0.00531356051336172,0.00504521053947698,4
"PHF20",0.00438557106903764,0.00536048377627486,0.00444324503203482,5
"ING2",0.00437849771713081,0.00489527565614038,0.0049853748964003,5
"ASH2L",0.00436566919456923,0.00400236889921975,0.00474134938511364,5
"HDAC2",0.0043534602122567,0.00452476936975587,0.00406992366721543,5
"SIRT7",0.00433413536906768,0.00403909577841015,0.00407326313792158,5
"KDM5B",0.00425021235018688,0.00376701334415613,0.0044803339675124,5
"NSD2",0.00422759075042838,0.00389120780522809,0.00383974630048828,5
"KMT2A",0.00422467151342244,0.00260532032921017,0.00332303678661179,5
"SMYD2",0.00421795279342589,0.00500950812703708,0.00460277260872008,5
"PRDM2",0.00421342755348937,0.00477590092992169,0.00395303782395445,5
"ATM",0.0042101580812651,0.00326739357437308,0.00326881148939155,5
"CHD3",0.00420562866838934,0.00455845167158053,0.00461287782702586,5
"CBX4",0.00420144952738665,0.00310567482932998,0.00397136158406419,5
"SUV39H2",0.00419408424569025,0.00376629064157008,0.00447793571518902,5
"SETD1B",0.00418992383317013,0.00357429210494937,0.00376353133957999,5
"PIAS4",0.00418139776410023,0.00369487523068483,0.00373340412544466,5
"TET1",0.00417797514253215,0.00383215828241781,0.00522141959278234,4
"UBE2B",0.00416842989232357,0.00394438667882997,0.00433330928911704,5
"DOT1L",0.00413830722979538,0.00328571464526996,0.00416256566712751,5
"TET3",0.00411303076772059,0.00311592420062378,0.00349528660148703,5
"RNF20",0.00409212896198445,0.00344522765202572,0.00386082461997726,5
"HDAC8",0.00407519753197764,0.00463422725798441,0.00471928888125957,5
"PHF8",0.0040623780063264,0.00410391458417479,0.0036064808486412,5
"JMJD6",0.00403699857824307,0.0041386315009836,0.00478203908624742,5
"HDAC9",0.00401746151149888,0.00391601837200336,0.00436447426053997,5
"SETD6",0.00399757338092958,0.00314046293796236,0.00390908649598245,5
"HDAC1",0.00397746990013987,0.0047341241849541,0.00463148898047258,5
"BRD2",0.00397174539662954,0.00467099957719591,0.00431240228473093,5
"MEN1",0.00394903846259532,0.00289918823727751,0.00351608761401376,5
"KMT5C",0.0039450467895257,0.00265985009819409,0.00374954066036707,5
"CBX5",0.0039355442420751,0.00384016502208423,0.00422464251700834,5
"KAT7",0.00393390332143188,0.00286884255272253,0.00337844680928215,5
"YEATS2",0.00393163601434151,0.00283557998979247,0.0035867118443739,5
"OGA",0.00393115882624692,0.00287848870760911,0.00344107146102604,5
"BAP1",0.00391698171632467,0.00314887129816873,0.00373546115704183,5
"KDM6B",0.00390317978202362,0.00428994127357589,0.00403520933493982,5
"CHD8",0.00389764755009656,0.00306925208422619,0.00305135694899139,5
"SUV39H1",0.00388930175843511,0.00436948935577287,0.00415405907059971,5
"ZBTB4",0.00388470979360731,0.00397470764126292,0.00414834793232646,5
"NSD3",0.0038777728395494,0.00392582356928033,0.00389518924363818,5
"KDM4C",0.00387237964516638,0.00358736778154932,0.00382824963974675,5
"SETDB1",0.00384155854182088,0.00359105219052497,0.00387418094599581,5
"NAA60",0.00383704525264989,0.00320506258326054,0.00357644548334324,5
"KAT5",0.00383284956013597,0.00308196421449379,0.00349423240023571,5
"SMARCC2",0.0038259065893292,0.00326466913129139,0.00357496511254419,5
"RBBP5",0.00381034861980403,0.00344237037050511,0.00402592384454589,5
"RBBP7",0.00380183140526038,0.00441083350828389,0.00396922153025173,5
"PHF1",0.00378199878149488,0.00321191532323117,0.00415992819897605,5
"KAT2B",0.00377092214831543,0.00372785551305698,0.00391604437382237,5
"MCM3AP",0.00372698501522448,0.00322885624542885,0.00391731920063326,5
"PRMT9",0.00372179344878923,0.00341263205867274,0.00371228569522246,5
"TAF3",0.00371174407219167,0.00282080304244665,0.00377033503695,5
"KDM4B",0.00370462286404072,0.00389872409746766,0.00374610257120745,5
"GTF3C4",0.00369435546306784,0.00491159643574384,0.00452646097926849,5
"AEBP2",0.00369205072812284,0.00455436048371017,0.00347198255033998,5
"PBRM1",0.00367839272499625,0.00271717321338154,0.00270991347664795,4
"PRMT7",0.00367348606726559,0.00319683604881572,0.00386099322211086,2
"PRMT1",0.00367159723555364,0.0036184982845974,0.00406241953874912,5
"PCGF6",0.00366773392757541,0.00314497708219723,0.00380622420948733,5
"PCGF1",0.00365042882547655,0.00431076021826332,0.00429595711476969,5
"MBD1",0.00364696040213942,0.00305668833455583,0.00364544871131729,5
"UBE2A",0.00364423548137361,0.0033278858479021,0.00368379470731007,5
"ZBTB38",0.00363120481852884,0.00403153329159448,0.00363636875477039,5
"MTA1",0.0036202112681215,0.00275472946633667,0.00356350605389838,5
"UHRF2",0.00360903328715668,0.00267256230586186,0.00316367299546648,5
"SIRT2",0.00358229681139155,0.00451534279819063,0.00428844160985631,5
"BMI1",0.00356380454550283,0.00327082639369796,0.00302827592684449,4
"PARP2",0.0035590784439573,0.00294182828161666,0.00386862679949605,5
"KDM1A",0.00355787561539502,0.00305365519443604,0.00361657882358451,5
"CLOCK",0.00354394354166373,0.00273515558705596,0.00347543532345797,5
"SETD1A",0.00351301289625848,0.004360996736753,0.00369061891815416,5
"ATR",0.0035124343263711,0.00476224061636311,0.00351603823776191,5
"SCML1",0.00347685032630214,0.00269276886703617,0.00368443215774628,3
"SIRT1",0.00346770150287809,0.00230399648111847,0.00269877722904048,5
"TP53BP1",0.00340782324978933,0.00319433943820023,0.00364091754496068,5
"DPY30",0.00335101973079044,0.00404881588230127,0.00445668086765038,5
"BRD3",0.00333879272490234,0.0029491138519362,0.00390203142699607,5
"SETDB2",0.00327876354477526,0.00404918566348209,0.00386979981907399,5
"HAT1",0.00327760149358271,0.0030859196488657,0.00396921318753861,5
"CHD4",0.00326611977847431,0.00314917209747762,0.00342012431152858,5
"XRCC1",0.00325267103974118,0.00313903282175297,0.00297849192198018,5
"SENP1",0.00320305878615117,0.00327562124726018,0.00359582226810556,5
"KAT8",0.00317365480820617,0.002914972368623,0.00354148376167185,5
"NCOA1",0.0031595780926604,0.00258425291632974,0.00320386270071878,5
"CREBBP",0.00315951921493506,0.00310684131495485,0.00281083132008771,5
"SMARCD1",0.00311140292987173,0.00361047932897336,0.00330789830984278,5
"ING3",0.00309291672773203,0.00302346350098453,0.00317638365242925,5
"KMT5B",0.0030761597265048,0.0032657571097002,0.00379909474970682,5
"RCOR3",0.0030681482622499,0.00283667598696563,0.00336098933531638,5
"KAT6A",0.0030529452799599,0.00338347973353507,0.00364102059197062,5
"PRMT3",0.00302262266751715,0.00302329875638042,0.00339239204897284,5
"DNMT1",0.00301508818802526,0.00259464958060612,0.00327329947034833,5
"EP400",0.00301390404556585,0.00213593609071333,0.00277394771638601,5
"RBBP4",0.00300223558103232,0.00285699728716447,0.00351961838709358,5
"RNF40",0.00299238216005899,0.00293340006175215,0.00320634905900654,5
"GATAD2B",0.0029773640230798,0.00414521317780807,0.00412552551531851,5
"KDM2A",0.00297095647427906,0.00287165800363504,0.00296941301199238,5
"SMARCC1",0.00296819160853121,0.00202798296936018,0.00282816625965921,5
"TDRD3",0.00292954362757176,0.0024182229686123,0.00331155914313529,5
"KMT2D",0.00290718944639526,0.00393246067511546,0.00331548257363581,4
"SIN3A",0.0028972461470437,0.00240640645296462,0.00257640298099422,5
"KDM5A",0.00288952384937018,0.00221791575120481,0.00291616623491541,5
"NCOA6",0.00288633781852225,0.00329370079353406,0.00281235208761885,5
"CBX3",0.00286197746757786,0.00282468416281151,0.00318896345950653,5
"NSD1",0.0028610351251536,0.0024884622397688,0.00295882312584385,5
"SMARCA4",0.00285254053265076,0.00316776372377382,0.00335667665120985,5
"MBD3",0.00282201047129822,0.00230447720282744,0.00307346116356347,5
"USP22",0.00282001866917504,0.00252416993492497,0.00323161590452309,5
"KDM3B",0.00281681850114212,0.00330896816012099,0.00265847904238747,5
"OGT",0.00278392519875946,0.00191321242067186,0.00272169844177936,4
"ATAD2",0.00278276044403944,0.00187386722833251,0.00264450155623778,5
