Gene_ID;Symbol;Alias;Class;Family;Complex;Target
ENSG00000108773;KAT2A;GCN5;Writer;GNAT;SAGA;H3ac
ENSG00000114166;KAT2B;PCAF;Writer;GNAT;SAGA;H3ac
ENSG00000128708;HAT1;HAT1;Writer;GNAT;HAT / SAGA / p300;H2/H4ac
ENSG00000115966;ATF2;;Writer;GNAT;;H2/H4ac
ENSG00000110583;NAA40;;Writer;NAT;Nat acetyltransferase;H2/H4ac
ENSG00000121579;NAA50;;Writer;NAT;Nat acetyltransferase;H4ac
ENSG00000122390;NAA60;;Writer;NAT;Nat acetyltransferase;H4ac
ENSG00000172977;KAT5;TIP60;Writer;MYST;NuA4 / TIP60 complex;H2/H4ac
ENSG00000103510;KAT8;MYST1;Writer;MYST;HAT / SAGA / p300;H4ac
ENSG00000136504;KAT7;MYST2;Writer;MYST;HBO1;H3/H4ac
ENSG00000083168;KAT6A;MYST3;Writer;MYST;MOZ/MORF;H3/H4ac
ENSG00000156650;KAT6B;MYST4;Writer;MYST;MOZ/MORF;H3ac
ENSG00000100393;EP300;;Writer;p300/CBP;HAT/SAGA/p300;H3ac , H3K18la
ENSG00000005339;CREBBP;;Writer;p300/CBP;HAT/SAGA/p300;H3ac
ENSG00000084676;NCOA1;;Writer;SRC;;H3/H4ac
ENSG00000124151;NCOA3;;Writer;SRC;;H3ac
ENSG00000134852;CLOCK;;Writer;other;HAT/SAGA/ p300 , CLOCK/BMAL1;H3ac
ENSG00000119760;SUPT7L;;Writer;other;SAGA;H3ac
ENSG00000005302;MSL3;;Writer;other;MSL complex;H4ac
ENSG00000160294;MCM3AP;;Writer;other;;H3ac
ENSG00000139618;BRCA2;;Writer;other;;H3ac
ENSG00000125484;GTF3C4;;Writer;other;;H3ac
ENSG00000116478;HDAC1;;Eraser;Class I;CoREST - SIN3 - NuRD;Hac , H3K18la
ENSG00000196591;HDAC2;;Eraser;Class I;CoREST - SIN3 - NuRD;Hac
ENSG00000171720;HDAC3;;Eraser;Class I;HDAC complexes;Hac , H3K18la
ENSG00000147099;HDAC8;;Eraser;Class I;HDAC complexes;Hac
ENSG00000068024;HDAC4;;Eraser;Class IIa;HDAC complexes;Hac
ENSG00000108840;HDAC5;;Eraser;Class IIa;HDAC complexes;Hac
ENSG00000061273;HDAC7;;Eraser;Class IIa;HDAC complexes;Hac
ENSG00000048052;HDAC9;;Eraser;Class IIa;HDAC complexes;Hac
ENSG00000163517;HDAC11;;Eraser;Class IV;HDAC complexes;Hac
ENSG00000096717;SIRT1;;Eraser;Class III;HDAC complexes;Hac
ENSG00000068903;SIRT2;;Eraser;Class III;HDAC complexes;Hac
ENSG00000142082;SIRT3;;Eraser;Class III;HDAC complexes;Hac
ENSG00000124523;SIRT5;;Eraser;Class III;HDAC complexes;Hac
ENSG00000077463;SIRT6;;Eraser;Class III;HDAC complexes;Hac
ENSG00000187531;SIRT7;;Eraser;Class III;HDAC complexes;Hac
ENSG00000100425;BRD1;;Reader;;MOZ/MORF acetyltransferase complex;H3K14ac
ENSG00000204256;BRD2;;Reader;BET;;H3K27ac
ENSG00000169925;BRD3;;Reader;BET;;H3K27ac
ENSG00000141867;BRD4;;Reader;BET;BET / P-TEFb;H3K27ac
ENSG00000137948;BRDT;;Reader;BET;;H3K27ac
ENSG00000080503;SMARCA2;BRG1;Reader;noBET;SWI/SNF chromatin remodeling BAF canonical;H4ac
ENSG00000127616;SMARCA4;BRM;Reader;noBET;SWI/SNF chromatin remodeling BAF canonical;H4ac
ENSG00000163939;PBRM1;;Reader;noBET;SWI/SNF chromatin remodeling PBAF;H4ac
ENSG00000147133;TAF1;;Reader;TAF;;Hac
ENSG00000156802;ATAD2;;Reader;BRD;;Hac
ENSG00000166164;BRD7;;Reader;BRD;SWI/SNF chromatin remodeling PBAF;H4ac
ENSG00000028310;BRD9;;Reader;BRD;SWI/SNF chromatin remodeling ncBAF / GBAF;H4ac
ENSG00000171843;MLLT3;AF9;Reader;YEATS;DOT1L recruiter;Hac
ENSG00000130396;MLLT4;ENL;Reader;YEATS;DOT1L recruiter;Hac
ENSG00000163872;YEATS2;;Reader;YEATS;;Hac
ENSG00000133884;DPF2;;Reader;DPF;SWI/SNF chromatin remodeling BAF canonical;Hac
ENSG00000205683;DPF3;;Reader;DPF;BAF chromatin remodeling;Hac
ENSG00000101945;SUV39H1;;Writer;KMT1;;H3K9me3
ENSG00000152455;SUV39H2;;Writer;KMT1;;H3K9me3 , H3K56me3
ENSG00000181090;EHMT1;GLP;Writer;KMT1;G9a/GLP complex;H3K9me2
ENSG00000204371;EHMT2;G9a;Writer;KMT1;G9a/GLP complex;H3K9me2 , H3K56me1
ENSG00000143379;SETDB1;;Writer;KMT1;KAP1/TRIM28 complex;H3K9me3
ENSG00000136169;SETDB2;;Writer;KMT1;SETDB complex;H3K9me3
ENSG00000118058;KMT2A;MLL1;Writer;KMT2;COMPASS;H3K4me3
ENSG00000272333;KMT2B;MLL2;Writer;KMT2;COMPASS;H3K4me3
ENSG00000055609;KMT2C;MLL3;Writer;KMT2;MLL3/4 enhancer COMPASS like complex;H3K4me1
ENSG00000167548;KMT2D;MLL4;Writer;KMT2;MLL3/4 enhancer COMPASS like complex;H3K4me1
ENSG00000099381;SETD1A;;Writer;KMT2;COMPASS;H3K4me3
ENSG00000139718;SETD1B;;Writer;KMT2;COMPASS;H3K4me3
ENSG00000129691;ASH2L;;Writer;KMT2;COMPASS core;H3K4me3
ENSG00000164091;WDR82;;Reader;;COMPASS core;H3K4me3
ENSG00000117222;RBBP5;;Writer;;COMPASS core;H3K4me3
ENSG00000172534;HCFC1;;Reader;;COMPASS core;H3K4me3
ENSG00000133895;MEN1;;Writer;;COMPASS core;H3K4me3
ENSG00000162961;DPY30;;Writer;;COMPASS core;H3K4me3
ENSG00000196363;WDR5;;Reader;;COMPASS core;H3K4me3
ENSG00000116539;ASH1L;;Writer;KMT2;Trithorax-like;H3K36me2
ENSG00000115593;SMYD1;;Writer;KMT3;;H3K4me3
ENSG00000143499;SMYD2;;Writer;KMT3;;H3K4me3 , H3K36me2
ENSG00000185420;SMYD3;;Writer;KMT3;;H3K4me3
ENSG00000186532;SMYD4;;Writer;SMYD;;H3K4me3
ENSG00000181555;SETD2;;Writer;KMT3;;H3K36me3
ENSG00000165671;NSD1;;Writer;KMT3;;H3K36me2
ENSG00000109685;NSD2;;Writer;KMT3;;H3K36me2 , H4K20me2
ENSG00000147548;NSD3;;Writer;KMT3;;H3K36me2
